2020-03-05 09:25:01.017072,01a.01,5425320030419624,31.05.2019,X91CUNIO

2020-03-10 10:10:38.172290,01a.01,5425320030419640,31.05.2019,X91CUNIO

2020-03-12 09:46:44.796257,01a.01,5425320030419822,31.05.2019,X91CUNIO

2020-03-17 07:47:26.205205,01a.01,5425320030419863,28.06.2019,X91CUNIO

2020-03-17 11:56:38.713519,01a.01,5425320030419889,28.06.2019,X91CUNIO

2020-03-17 12:01:55.672845,01a.01,5425320030419897,28.06.2019,X91CUNIO

2020-04-08 09:16:28.540974,01a.01,5425320030419905,29.08.2019,X91CUNIO

2020-04-08 11:38:20.245208,01a.01,5425320030419939,29.08.2019,X91CUNIO

2020-04-08 14:04:29.884081,01a.01,5425320030419962,29.08.2019,X91CUNIO

2020-04-08 14:43:42.855553,01a.01,5425320030419970,29.08.2019,X91CUNIO

2020-04-09 13:54:20.600647,01a.01,5425320030419996,29.08.2019,X91CUNIO

2020-04-14 08:31:35.387633,1a.1,5425320031097361,12.03.2020,X91CUNIO

2020-04-09 13:54:20.600647,01a.01,5530860030153188,29.08.2019,X91CUNIO

2020-04-09 13:54:20.600647,01a.01,5425320031097361,29.08.2019,X91CUNIO

2020-04-15 14:08:48.795903,01a.01,5425320031097379,13.03.2020,X91CUNIO


2020-04-15 14:35:01.791500,01a.01,5425320031097387,13.03.2020,X91CUNIO

