2020-05-26 13:19:49,01a.01,5425320031098104,30.04.2020,X91CUNIO,RLSEI
2020-05-26 13:24:32,01a.02,5127970086850428,30.04.2020,X91GSIIO,RLSEI
2020-05-26 13:33:13,01a.03,4935120031098112,30.04.2020,X91CUNIO,RLSEI
2020-05-26 13:39:44,01a.04,4024254664248538,30.04.2020,X91CSIIO,RLSEI
2020-06-22 10:55:50,01a.01,5425320031098278,28.05.2020,X91CUNIO,RLSEI
2020-06-22 11:56:44,01a.01,5425320031098286,28.05.2020,X91CUNIO,RLSEI
2020-06-22 13:18:59,01a.01,5425320030939837,24.07.2019,X91CUNIO,IC6
2020-06-22 14:52:50,01a.02,5127970863174208,28.05.2020,X91GSIIO,RLSEI
2020-06-22 15:09:11,01a.02,5127973337910900,24.07.2019,X91GSIIO,IC6
2020-06-23 08:08:56,01a.03,4935120031098294,28.05.2020,X91CUNIO,RLSEI
2020-06-23 08:50:14,01a.04,4024254391541700,28.05.2020,X91CSIIO,RLSEI
2020-06-24 07:53:18,01a.01,5425320031116310,02.12.2019,X91CUNIO,IC7
2020-06-24 08:00:40,01a.02,5127973830090465,02.12.2019,X91GSIIO,IC7
2020-06-24 08:22:18,01a.03,4935120031116328,02.12.2019,X91CUNIO,IC7
2020-06-24 08:33:04,01a.04,4024254461686419,02.12.2019,X91CSIIO,IC7
2020-06-25 07:31:31,01a.01,5425320031098690,04.05.2020,X91CUNIO,SITITA04
2020-06-25 07:37:09,01a.02,5127978952616070,04.05.2020,X91GSIIO,SITITA04
2020-06-25 07:43:08,01a.03,4935120031098708,04.05.2020,X91CUNIO,SITITA04
2020-06-25 07:48:31,01a.04,4024251180682596,04.05.2020,X91CSIIO,SITITA04
2020-06-26 07:31:22,01a.03,4935120030940306,26.07.2019,X91CUNIO,IC6
2020-06-26 07:37:42,01a.04,4024254139031485,26.07.2019,X91CSIIO,IC6
2020-06-29 10:48:24,01a.01,5425320031098302,29.05.2020,X91CUNIO,RLSEI
2020-06-29 10:53:36,01a.02,5127978904477795,29.05.2020,X91GSIIO,RLSEI
2020-06-29 10:57:15,01a.03,4935120031098310,29.05.2020,X91CUNIO,RLSEI
2020-06-29 11:00:54,01a.04,4024254177542971,29.05.2020,X91CSIIO,RLSEI
2020-07-08 08:22:56,01a.01,5425320031098369,01.07.2020,X91CUNIO,RLSEI
2020-07-08 08:26:41,01a.02,5127979099876478,01.07.2020,X91GSIIO,RLSEI
2020-07-08 08:34:58,01a.03,4935120031098377,01.07.2020,X91CUNIO,RLSEI
2020-07-08 08:38:36,01a.04,4024251321584081,01.07.2020,X91CSIIO,RLSEI
2020-07-14 12:34:15,01a.01,5425320031098518,14.07.2020,X91CUNIO,RLSEI
2020-07-16 14:22:38,01a.02,5127976375763016,14.07.2020,X91GSIIO,RLSEI
2020-07-16 14:27:15,01a.03,4935120031098567,14.07.2020,X91CUNIO,RLSEI
2020-07-17 08:29:21,01a.01,5425320031098914,27.05.2020,X91CUNIO,SITITA04
2020-07-17 08:41:08,01a.01,5425320030940819,01.08.2019,X91CUNIO,IC6
2020-07-17 08:51:11,01a.01,5425320031116989,31.12.2019,X91CUNIO,IC7
2020-07-17 11:29:54,01a.01,5425320031098575,14.07.2020,X91CUNIO,RLSEI
2020-07-17 12:24:02,01a.01,5425320031098583,14.07.2020,X91CUNIO,RLSEI
2020-07-20 13:20:44,01a.05pri,5425320031098617,14.07.2020,X91CUNIO,RLSEI
2020-07-20 14:19:34,01a.05pri,5425320031098625,14.07.2020,X91CUNIO,RLSEI
2020-07-20 14:31:38,01a.01,5425320031098633,14.07.2020,X91CUNIO,RLSEI
2020-07-20 14:38:29,01a.02,5127977885824603,14.07.2020,X91GSIIO,RLSEI
2020-07-20 14:42:19,01a.03,4935120031098641,14.07.2020,X91CUNIO,RLSEI
2020-07-20 14:46:11,01a.04,4024252035316596,14.07.2020,X91CSIIO,RLSEI
2020-07-21 08:56:48,01a.01,5425320031098666,14.07.2020,X91CUNIO,RLSEI
2020-07-21 14:00:23,01a.05adi,5425320031098716,14.07.2020,X91CUNIO,RLSEI
2020-07-21 14:22:31,01a.05adi,5425320031098732,14.07.2020,X91CUNIO,RLSEI
2020-07-21 14:29:55,01a.05adi,5425320031098740,14.07.2020,X91CUNIO,RLSEI
2020-07-23 10:04:45,01a.01,5425320030940835,01.08.2019,X91CUNIO,IC6
2020-07-23 10:09:25,01a.02,5127977519670778,01.08.2019,X91GSIIO,IC6
2020-07-23 10:13:29,01a.03,4935120030940843,01.08.2019,X91CUNIO,IC6
2020-07-23 10:20:36,01a.04,4024255097206274,01.08.2019,X91CSIIO,IC6
2020-07-23 10:26:39,01a.05pri,5425320030940850,01.08.2019,X91CUNIO,IC6
2020-07-23 10:31:38,01a.05adi,5425320030940868,01.08.2019,X91CUNIO,IC6
2020-07-23 12:15:59,01a.05adi,5425320031098757,14.07.2020,X91CUNIO,RLSEI
2020-07-23 12:52:31,01a.05adi,5425320031098765,14.07.2020,X91CUNIO,RLSEI
2020-07-24 08:18:14,01a.05adi,4935110031098774,14.07.2020,X91CUNIO,RLSEI
